deviceID,deviceType,timestamp,location,data
2fdd9006-754b-4239-bd47-371ad1aa5fbc,LaserCutter,2021-05-01 23:40:00,"{'country': 'japan', 'city': 'tokyo', 'area': 'keiyō-industrial-zone', 'factory': 'daikibo-factory-meiyo', 'section': 'section-3'}","{'status': 'healthy', 'temperature': 26}"
2fdd9006-754b-4239-bd47-371ad1aa5fbc,LaserCutter,2021-05-02 02:30:00,"{'country': 'japan', 'city': 'tokyo', 'area': 'keiyō-industrial-zone', 'factory': 'daikibo-factory-meiyo', 'section': 'section-3'}","{'status': 'healthy', 'temperature': 23}"
405cf861-f6fd-4403-9bd0-56be348f488c,AirWrench,2021-05-09 11:40:00,"{'country': 'japan', 'city': 'osaka', 'area': 'keihanshin-industrial-zone', 'factory': 'daikibo-factory-seiko', 'section': 'section-3'}","{'status': 'healthy', 'temperature': 24}"
e3751fc7-2ef7-44c6-b8d6-2202c4ec3760,ConveyorBelt,2021-05-08 19:10:00,"{'country': 'china', 'city': 'shenzhen', 'area': 'jiaotang', 'factory': 'daikibo-shenzhen', 'section': 'section-3'}","{'status': 'healthy', 'temperature': 27}"
ce4c3a9b-3b15-46c8-857e-50b9fee5e807,MetalPress,2021-05-06 05:20:00,"{'country': 'japan', 'city': 'tokyo', 'area': 'keiyō-industrial-zone', 'factory': 'daikibo-factory-meiyo', 'section': 'section-4'}","{'status': 'healthy', 'temperature': 27}"
31e71b60-32f8-4ff5-a0c2-8e0d24737595,Furnace,2021-05-07 20:10:00,"{'country': 'china', 'city': 'shenzhen', 'area': 'jiaotang', 'factory': 'daikibo-shenzhen', 'section': 'section-2'}","{'status': 'healthy', 'temperature': 27}"
a2d3aab1-f1c5-4dcf-8fc4-324d5d0154bc,LaserCutter,2021-05-01 23:00:00,"{'country': 'germany', 'city': 'berlin', 'area': 'adlershof-technology-park', 'factory': 'daikibo-berlin', 'section': 'section-1'}","{'status': 'healthy', 'temperature': 24}"
e3751fc7-2ef7-44c6-b8d6-2202c4ec3760,ConveyorBelt,2021-05-07 21:00:00,"{'country': 'china', 'city': 'shenzhen', 'area': 'jiaotang', 'factory': 'daikibo-shenzhen', 'section': 'section-3'}","{'status': 'healthy', 'temperature': 25}"
2fdd9006-754b-4239-bd47-371ad1aa5fbc,LaserCutter,2021-05-01 21:10:00,"{'country': 'japan', 'city': 'tokyo', 'area': 'keiyō-industrial-zone', 'factory': 'daikibo-factory-meiyo', 'section': 'section-3'}","{'status': 'healthy', 'temperature': 24}"
91edd02d-c434-4f3d-9cdd-239f7a7d4016,HeavyDutyDrill,2021-05-03 04:40:00,"{'country': 'japan', 'city': 'osaka', 'area': 'keihanshin-industrial-zone', 'factory': 'daikibo-factory-seiko', 'section': 'section-2'}","{'status': 'healthy', 'temperature': 27}"
